str_no_string|NO STRING!
str_npc12_home_recap|Provenho de além dos mares. Viajo pelo mundo buscando conhecimento médico.
str_npc13_home_recap|Oh, longe daqui, {milorde/milady}, do contrário já teria ouvido falar de mim e não seria necessário que o perguntasse.
str_npc14_home_recap|Sou o filho mais novo do Conde de Geroia.
str_npc15_home_recap|Provenho das colinas. Mas Perisno é um bom lugar para fazer dinheiro, se trabalhar neste negócio.
str_npc16_home_recap|Bom, {capitão/capitã}, nasci na aldeia de Uslum, mas minha mãe perdeu suas terras devido ao engano de um parente e tive que me colocar a serviço de um lorde das proximidades.
str_npc17_home_recap|Eu sou de um lugar que você provavelmente nunca ouviu falar, mas sou de sangue nobre. Nosso nome é reconhecido aqui em Perisno.
str_npc18_home_recap|Eu trapaceei... quero dizer, fui acusado de trapacear na competição anual de arco e flecha de {s21}.
str_npc19_home_recap|Eu sou de um lugar que você provavelmente nunca ouviu falar.
str_npc1_honorific|chefe
str_npc2_honorific|{senhor/senhora}
str_npc3_honorific|{senhor/senhora}
str_npc4_honorific|{capitão/capitã}
str_npc5_honorific|{playername} Bahadur
str_npc6_honorific|{capitão/capitã}
str_npc7_honorific|{capitão/capitã}
str_npc8_honorific|{playername}
str_npc9_honorific|{meu bom senhor/minha boa senhora}
str_npc10_honorific|{irmão/irmã}
str_npc11_honorific|{rapaz/menina}... quero dizer, {capitão/capitã}
str_npc12_honorific|{capitão/capitã}
str_npc13_honorific|oh, valente
str_npc14_honorific|comandante
str_npc15_honorific|{capitão/capitã}
str_npc16_honorific|{capitão/capitã}
str_npc17_honorific|{Senhor/Senhora} {playername}
str_npc18_honorific|{Senhor/Senhora} {playername}
str_npc19_honorific|{Senhor/Senhora} {playername}
str_npc1_kingsupport_1|Grande ideia, chefe. Todos esses reis, sultões e senhores feudais que agora governam, com suas prisões e suas forcas, com seus chicotes e seus enforcamentos, realmente impulsionam qualquer homem a roubar um pedaço de pão ou talvez um cavalo para evitar o pranto de seus filhos. Perisno merece algo melhor.
str_npc2_kingsupport_1|Bem, meu comandante, eu o apoio. Creio que dará a Perisno o tipo de leis e decretos que ela necessita há muito tempo.
str_npc3_kingsupport_1|Bom, milorde, me preocupo por você. Nossas crônicas nos ensinam que o poder tende a corromper. Mas definitivamente, me reconforta pensar que a misericórdia e o bom julgamento são qualidades que você demonstrou de sobra como comandante.
str_npc4_kingsupport_1|Bem, comandante, creio que você será o tipo de {rei/rainha} que os cavaleiros de alta linhagem como eu estarão orgulhosos de seguir para a batalha...
str_npc5_kingsupport_1|Excelente ideia, Bahadur, você mostrou que sabe como governar os homens. Entenda que deverá fazê-lo com justiça, no entanto...
str_npc6_kingsupport_1|Não seria capaz de ponderar as razões legais das suas pretensões. No entanto, creio que diferente dos demais reis das redondezas, você realmente tem capacidade para unificar esta terra e pôr fim a estas guerras intermináveis, entre reino e reino, entre nobre e nobre, e entre irmão e irmão, que tem feito todos nós cair em desgraça perante os olhos dos Céus.
str_npc7_kingsupport_1|Sim, você ficará bem. Você sabe como tratar os bandidos e rufiões.
str_npc8_kingsupport_1|A saga de Bjernstad nos narra como um homem capaz de realizar as maiores façanhas, superando os outros homens de seu tempo, tem direito a reclamar o trono... Faça-o.
str_npc9_kingsupport_1|Muito bem, {milorde/milady}. Eu sou um vaegir dos de antigamente, mas Yaroglek jamais me enganou com seus falsos direitos. Então não lhe devo nada, pelo contrário, digo que "o trono deve ser para o mais honrável"... e esse seria você, {milorde/milady}.
str_npc10_kingsupport_1|Bem, {irmão/irmã}, suponho que a ordem natural impõe que haja {reis/reis e rainhas}, e deve-se haver {reis/reis e rainhas}... então você será melhor {rei/rainha} que nenh{um/uma} outr{o/a}...
str_npc11_kingsupport_1|Grande ideia {rapaz/menina}! Imagino que terei que aprender a chamar-lhe de "Majestade", ou "Vossa mercê", então...
str_npc12_kingsupport_1|Estou convencido de que seria um grande rei, comandante. Costumo me gabar do meu bom julgamento para avaliar as pessoas, e você demonstrou em repetidas ocasiões um dom para a compaixão que supera em muito a daqueles outros que se fazem chamar reis.
str_npc13_kingsupport_1|Isto seria excelente, {milorde/milady}! Gloriosa é a história do herói que demonstrou sua valia para conseguir a coroa em compensação de suas valorosas ações. Talvez conheça o cantar de Antaran, filho de Ashbad, que desceu às trevas para chegar a ser rei de Dabarah. Uma história fabulosa!
str_npc14_kingsupport_1|Bom, senhor, o Altíssimo estabeleceu uma hierarquia neste mundo, e normalmente não deveria haver lugar para a usurpação. Mas também creio que os reis desta terra são fracos e, sentindo muito, não são dignos de chamar-se por tal título, o que deixa a coroa livre para ser tomada por um {homem/soberano} melhor, como você.
str_npc15_kingsupport_1|Bom... pague a seus homens sem atrasos e assim que puder, como regra geral. Essa é a melhor qualidade própria da realeza, em minha opinião. Mostre respeito pelos direitos dos outros.
str_npc16_kingsupport_1|Por que não, comandante? Tenho certeza de que será {um bom rei/uma boa rainha}... embora, naturalmente, espero que não se esqueça das pessoas humildes que, assim como eu, lhe apoiaram em sua subida ao trono.
str_npc17_kingsupport_1|Como um sangue azul, posso reconhecer a realeza em um instante, e ouso dizer que você é {um dos/uma das} melhores que conheci.
str_npc18_kingsupport_1|Aposto que sim, especialmente comigo ao seu lado. Você me concederia um perdão geral por todas as coisas que eu poderia ou não ter feito, não é?
str_npc19_kingsupport_1|Eu ficaria feliz em usar minha influência para apoiar sua reivindicação de ser {o legítimo rei/a legítima rainha} de Perisno.
str_npc1_kingsupport_2|Claro, chefe. Mas deixe-me indicar-lhe o que poderia atrair outros a sua causa, em especial as classes mais humildes. Conta-se que nos velhos tempos, cada novo Imperador que ascendia ao trono emitia uma grande anistia para todos os prisioneiros de seus calabouços, exceto os mais perigosos, outorgando a seus súditos uma segunda oportunidade para fazerem-se pessoas de bem, assim como você deu uma segunda oportunidade a mim.
str_npc2_kingsupport_2|Se desejar, posso dedicar-me algumas semanas para visitar as guildas onde tenho contatos e explicar a todos que em você eles terão {um rei/uma líder} que poderá colocar na linha os rapazes nobres; esses que se aproveitam dos pobres com seus impostos exorbitantes e que estrangulam o comércio por uns poucos aurums extras que desperdiçam em guerras e banquetes. O que acha?
str_npc3_kingsupport_2|Eu {o/a} apoiaria sem hesitação, {milorde/milady}. Mas suplico encarecidamente que restitua uma antiga tradição imperial calrádica, o conselho de lordes e plebeus, eleitos entre os nobres do lugar e os plebeus com terras próprias, com o poder de supervisionar qualquer novo imposto ou outras medidas de caráter... tirânico que pudessem tentar com o passar do tempo. Seria para o seu próprio bem, {milorde/milady}.
str_npc4_kingsupport_2|Naturalmente, {milorde/milady}. O segredo agora está em conseguir que todos {o/a} sigam. Como sabe, na hora de estabelecer uma linhagem sólida convém demonstrar sua dignidade. Talvez você tenha algum antepassado ancestral do qual não tenha mencionado... tem?
str_npc5_kingsupport_2|Oh, Bahadur, {o/a} apoiaria sem titubear. Mas há algo que devo suplicar-lhe... em nome de todos os homens das estepes como eu. Para nós, seria motivo de grande alegria escutar da boca de quem seria nosso khan, que estaria disposto a restaurar um direito ancestral. Na antiga Idade dos Imperadores, nós, homens das estepes, desfrutávamos do direito de guiar nossos rebanhos a pastos novos ou a mercados e feiras, o que implica necessariamente que tenhamos que atravessar as terras dos grandes nobres deste reino.
str_npc6_kingsupport_2|Perfeito. Eu falaria a todo aquele disposto a ouvir sobre suas ações em prol dos fracos e indefesos, da sua habilidade para liderar com compostura os homens frente a grandes dificuldades e levá-los ao triunfo, e lhes diria que com você como rei, haveria uma única lei e uma única paz para todos, desde os montes dos rhodoks aos ermos vaegires, desde as grandes estepes às costas do norte.
str_npc7_kingsupport_2|Sim, {meu capitão/minha capitã}, estou de acordo. O dever de {um rei/uma rainha} é manter seguros os caminhos para as pessoas de bem, permitir às mulheres ir pegar lenha ou tirar água sem que sejam assaltadas por foragidos. Em todo o caso, você já derramou o sangue de muitos degenerados oportunamente. Sem dúvida os homens temeriam assaltar as mulheres que se encontrem por aí, com você como {seu rei/sua rainha}.
str_npc8_kingsupport_2|Saiba que conta com meu apoio, com uma só condição. Você seria rei em Praven, em Sargoth ou em onde quer que queira governar, mas eu governaria em minha sala. Em outras palavras, se tivesse alguma disputa com qualquer outro dos seus senhores da guerra, seja sobre terras, gado, ou sangue, você nos permitiria resolvê-la espada contra espada. Segundo os velhos costumes... e assim deixar que os Céus decidam quem terá a razão.
str_npc9_kingsupport_2|Eu estou com você, milorde, e os outros também estariam. Mas minha humilde opinião é que você precisa mostrar aos nobres senhores desta terra que é capaz de defender seus direitos ancestrais. No momento, Perisno é ingovernável. Os lordes detêm as terras, à exceção dos direitos do rei sobre as florestas, mas as cidades por sua vez têm direito a cobrar seus próprios impostos para que possam entrar nelas, e os plebeus podem usar os pastos às terças ímpares de cada mês, menos em Rivacheg, onde apenas é possível nas quartas-feiras. Você percebe? Por isso aconselho que faça com que tudo seja mais fácil; primeiro o {rei/soberano}, depois dele os nobres, e então todos os demais.
str_npc10_kingsupport_2|Certamente, {irmão/irmã}. Mas peço que considere mais uma opinião. Se for {rei/rainha}, peço que abra sua corte aos plebeus, não só aos nobres e demais distintas gentes de sangue azul. Pediria, além disso, que permitisse que qualquer homem julgado e sentenciado em seus domínios tenha o direito de apelar a sua majestade diretamente. Atualmente, apenas os nobres têm os direitos. Eu digo que todo homem em Perisno deveria tê-los também.
str_npc11_kingsupport_2|Claro! Deixe-me ver sua mão, vejamos... Aha! Você tem a "Marca dos Reis". Assim é como a chamamos em Praven, pelo menos. Em Suno escutei que a chamam de o "Sinal do Imperador", mas lá chamam de forma diferente todas as coisas. De qualquer modo, sua distinção é clara... Eu diria que isto significa que você tem todo o direito de governar! É seu destino! De fato, creio que me parece alguma profecia que aventurava isto.... Hmm, como era...
str_npc12_kingsupport_2|Naturalmente, {capitão/capitã}. Mas se algo aprendi em minhas viagens por esta terra, é que os calradianos estão obcecados com suas tradições. Tudo deve se fazer conforme se fazia nos tempos do antigo Império... mesmo que apenas uma centena deles sejam capazes de ler os signos do antigo idioma calrádico para entender as Crônicas! Os mercadores de Veluca casam suas filhas conforme ao rito "imperial". O gado de Rivacheg é sacrificado conforme ao costume "imperial". E claro, todo rei deve ser coroado de acordo com a Lei "imperial".
str_npc13_kingsupport_2|Claro, {milorde/milady}. Mas além disso, como nos mostra o cântico de Antaran, quando ele reivindica um trono, não seria ruim protagonizar uma épica epopeia, que seja recitada ao redor de fogueiras e banquetes para que saibam de seus atos. E, como certamente já sabe, eu mesmo tenho um dom especial com os versos.
str_npc14_kingsupport_2|Que assim seja, {milorde/milady}. Tenho a plena convicção de que você pode unir esta terra, de que será capaz de erguer um exército como Perisno jamais viu em gerações. Cavaleiros swadianos, arqueiros vaegires, lanceiros rhodoks, espadachins sarranides, huscarls nórdicos, escaramuçadores khergitas... e cruzará com eles rios e montanhas para submeter todas as terras que uma vez foram propriedade dos Imperadores de Perisno.
str_npc15_kingsupport_2|Que assim seja. As pessoas poderiam falar que você carece de sangue real em suas veias. Mas como me cansei de ver, o sangue real torna os homens mesquinhos e miseráveis. Os reis e nobres se endividam para levantar construções e embarcar em grandes projetos sem ter nem ideia de como pagarão depois a todos esses plebeus que esperam seu pão depois de um honrado dia de trabalho. Se me perguntar, lhe direi que é a honestidade que converte {homens/mulheres} em {reis/rainhas}, não a linhagem.
str_npc16_kingsupport_2|Naturalmente, {milorde/milady}. Além disso, imagino que uma garota como eu poderia desempenhar um certo papel a seu serviço para ganhar o apoio dos nobres desta terra. Pode ser que eu não tenha tido um grande papel em seus planos e intrigas, mas com o passar dos anos creio que sei muito bem o que cada um quer. Tendo em conta que conheço seus segredos, nenhum deles me negaria a passagem para seus salões e festas.
str_npc17_kingsupport_2|Você faria bem, tenho certeza disso.
str_npc18_kingsupport_2|Claro que eu te apoiaria. Você seria capaz de realizar torneios durante todo o ano, comigo como vencedor, é claro. As pessoas vão adorar se muitos jogos forem realizados.
str_npc19_kingsupport_2|Vou espalhar a palavra sobre como {meu senhor/minha senhora} deve governar toda a terra.
str_npc1_kingsupport_2a|Por favor, continue...
str_npc2_kingsupport_2a|Por favor, continue...
str_npc3_kingsupport_2a|Por favor, continue...
str_npc4_kingsupport_2a|Claro, deixe que lhe conte tudo sobre ele.
str_npc5_kingsupport_2a|Por favor, continue...
str_npc6_kingsupport_2a|Fabuloso.
str_npc7_kingsupport_2a|Bom... Sim, tratarei de manter a ordem...
str_npc8_kingsupport_2a|Muito bem.
str_npc9_kingsupport_2a|Isso parece bastante razoável...
str_npc10_kingsupport_2a|Claro, de bom grado concederei a meus súditos tal direito.
str_npc11_kingsupport_2a|Veja se pode se lembrar dessa profecia.
str_npc12_kingsupport_2a|Muito interessante. Prossiga...
str_npc13_kingsupport_2a|Sim, como disse.
str_npc14_kingsupport_2a|Por favor, continue...
str_npc15_kingsupport_2a|Bem dito, meu bom cavaleiro.
str_npc16_kingsupport_2a|Interessante... Por favor, continue.
str_npc17_kingsupport_2a|Isso parece bastante sensato...
str_npc18_kingsupport_2a|Talvez você esteja certo, pão e jogos deixam todos felizes.
str_npc19_kingsupport_2a|Interessante... Por favor, continue
str_npc1_kingsupport_2b|Bom, teria que ver como termina tudo isto...
str_npc2_kingsupport_2b|Não busco esse apoio, pois sem dúvida tentariam beneficiar-se da minha causa.
str_npc3_kingsupport_2b|Não tenho nenhuma intenção de pôr obstáculos a mim mesmo da semelhante maneira.
str_npc4_kingsupport_2b|Não entrarei nesse jogo.
str_npc5_kingsupport_2b|Comentei com você que queria ser {rei/rainha}, não que eu desejasse me envolver nos problemas da vida nômade.
str_npc6_kingsupport_2b|Não estou seguro de que possa oferecer... soluções para tudo isso.
str_npc7_kingsupport_2b|Acho que talvez esteja levando muito a sério a ideia de paz do rei...
str_npc8_kingsupport_2b|É uma condição bastante exigente.
str_npc9_kingsupport_2b|Não estou cert{o/a} de que aplicar essa ideia seja tão "simples" como pensa.
str_npc10_kingsupport_2b|Hmm. Deixe-me pensar.
str_npc11_kingsupport_2b|Eh... manterei minhas mãos nas costas, ao que parece...
str_npc12_kingsupport_2b|Já é o suficiente, bom senhor. Não permito que zombe das nossas tradições!
str_npc13_kingsupport_2b|Hmm. Não estou muito certo disso.
str_npc14_kingsupport_2b|Realmente, esperava um pouco de descanso depois da coroação...
str_npc15_kingsupport_2b|{Rei/Rainha} dos empregados, talvez. Chega de conversa.
str_npc16_kingsupport_2b|Não se ofenda, mas creio que não é essa a perspectiva que eu queria tomar.
str_npc17_kingsupport_2b|Não tenho certeza se implementar sua ideia seria tão "simples" quanto você pensa.
str_npc18_kingsupport_2b|Você ganharia todos os torneios? Isso seria injusto!
str_npc19_kingsupport_2b|Não, obrigado.
str_npc1_kingsupport_3|Se eu pudesse viajar por todo o país durante algumas semanas, anunciando à plebe que você outorgará uma anistia a seus parentes, como os imperadores de antigamente... não tenho nenhuma dúvida de que eles {o/a} reconheceriam como {seu Imperador/sua Imperatriz}, e isso lhe abriria totalmente o caminho para o trono. Quer que o faça, chefe?
str_npc2_kingsupport_3|Se quiser, {capitão/capitã}, posso tirar algumas semanas para visitar os salões das guildas e os caravançarais onde tenho contatos, e explicar a eles que, com você, eles terão {um rei/uma governante} que irá controlar os nobres vorazes, que, com suas tarifas e impostos, estrangulariam o comércio em troca de alguns aurums extras para gastar em suas guerras e festas. O que você acha disso, {capitão/capitã}?
str_npc3_kingsupport_3|Se pudesse prometer tal coisa, {milorde/milady}, creio que a maioria dos nobres destas terras superariam qualquer relutância que ainda pudessem ter para com você. Se seu objetivo é restaurar a antiga ordem imperial, nesse caso poderia garantir que você seria um {rei/governante} muito mais legítimo que qualquer um desses recentes usurpadores. Conceda-me apenas algumas semanas, {milorde/milady}, e darei a conhecer entre as cortes nobres e as casas de comércio desta terra que sua intenção é restaurar seus antigos direitos.
str_npc4_kingsupport_3|Sim, ouvi falar algo dessa nobre linhagem. De fato, praticamente posso vislumbrar sua completa árvore genealógica. Se me permite, "majestade", vou dedicar as próximas semanas para visitar as aldeias e castelos deste reino, difundindo o testemunho de sua augusta ascendência. Evidentemente, espero que você se lembre de mim no futuro como seu mais fiel súdito, quando chegar o momento de repartir as terras...
str_npc5_kingsupport_3|Esteja ciente, {milorde/milady}, que nestes tempos difíceis os donos das grandes terras decidiram praticamente bloquear nossa passagem, cobrando-nos descomunais taxas para atravessar suas propriedades. É um grande fardo para meu povo, Bahadur. Se pudesse me dedicar durante algumas semanas para comunicar aos homens das estepes que você apoiaria a restauração dos nossos direitos ancestrais, bom, nesse caso, creio que se contariam por centenas os que lhe reconheceriam como seu khan. E quando os homens se referirem a você como seu khan, terá dado o primeiro passo para o trono.
str_npc6_kingsupport_3|Muito bem. Embora agora eu seja um estranho para minha família, visitei muitas nobres cortes enquanto lhe servi, e creio que seria bem recebido de novo. Marcharei por estas terras para anunciar aos nobres que quando você for {rei/rainha}, se esforçará ao máximo para proteger os fracos e pôr fim às disputas em seu reino, de maneira que nenhum homem que levante sua arma contra outro ficará impune... E um dia, talvez, o pecado do fratricídio desaparecerá para sempre de nosso povo.
str_npc7_kingsupport_3|Eu lhe direi uma coisa, {capitão/capitã}. Dê-me duas semanas e irei visitar algumas cidades e aldeias do reino, estão cheias de lugares perigosos, mas creio que poderei cuidar bem de mim mesma. Direi aos povos destas terras que uma vez que unificar este lugar, você o limpará de bandidos. Levantará forcas ao longo das estradas e saberá mantê-las repletas de pescoços de ladrões, de maneira que todo aquele que passar saberá que o preço da depravação em seus domínios é... a morte!
str_npc8_kingsupport_3|Ótimo! Então dê-me duas semanas e visitarei todas as cortes desta terra, fazendo-as saber da nobreza que seria um {rei/soberano} disposto a respeitar os direitos de antigamente que acompanham a todo senhor da guerra. Você não meterá seu nariz real onde não lhe corresponde e Perisno será um lugar melhor.
str_npc9_kingsupport_3|É muito sensato, {milorde/milady}. Desta forma, finalmente nos livraremos de todas essas petições, complicações de papéis e outras burocracias próprias de burgueses, que tão tediosamente ocupam todo o meu tempo e o seu, quando o que deveríamos fazer é estar lá fora lutando pela glória de seu reino. Permita-me que vá anunciar aos nobres senhores deste país que você restaurará os antigos costumes, e lhe asseguro que a maioria {o/a} seguirá para a batalha sem hesitação.
str_npc10_kingsupport_3|Bem, então, {irmão/irmã}, dê-me duas semanas e viajarei por esta terra, anunciando aos povos humildes que você saberá governar com justiça e igualdade, que haverá uma só lei tanto para nobres como para plebeus. Os homens sem dúvida começarão a referir-se a você como {seu rei/sua rainha}, e esse é o melhor caminho para chegar a sê-lo...
str_npc11_kingsupport_3|Agora sou incapaz de lembrar, mas se me permitisse voltar para casa, poderia encontrar um ancião que sem dúvida a recordaria totalmente. E poderíamos falar que você tem a marca dos reis em sua mão! Há muitos em minha terra natal que estão esperando um governante justo, e a mão de um homem pode dizer tudo o que vale a pena dizer sobre ele. Dê-me duas semanas, e contarei a todos que será {seu próximo rei/sua próxima rainha}.
str_npc12_kingsupport_3|Mas você sabe o que? Não havia nenhuma norma "imperial" que regulamentasse a sucessão da Coroa. Às vezes um imperador legava o Império a seu filho. Em algumas ocasiões o dividia entre seus generais. Outras vezes um imperador era simplesmente o assassino de seu antecessor. Não há uma lei "Calrádica" que determine o direito a coroar-se {rei/rei ou rainha}, e, portanto, faz todo o sentido que o trono seja para o mais capacitado para governar... o que seria você, obviamente. Dê-me duas semanas e escreverei um tratado que demonstre isso. Então encontrarei um copista e ele será publicado em cada taverna desta terra. O que acha da ideia?
str_npc13_kingsupport_3|Então dê-me duas semanas, oh poderos{o/a} valente, e escreverei um cântico que fará com que mesmo os mais fracos de coração se comovam por você... inspirando admiração por suas virtudes, compaixão por seus sofrimentos, e indignação ante os que se interponham em seu caminho. Eu assumo, é claro, que seria possível que me tomasse certas licenças poéticas nos detalhes, sim?
str_npc14_kingsupport_3|Dê-me algumas semanas, {milorde/milady}, e farei todos os homens de bem desta terra saberem que você é {o único/a única} capaz de unir não só a este reino, mas também a todos os demais domínios calrádicos. Pois, conforme creio eu, ninguém deveria ser {rei/rei ou rainha} se não for capaz de governar a totalidade destes territórios, e você é {o único/a única} que tem demonstrado possuir tais capacidades, {milorde/milady}.
str_npc15_kingsupport_3|Alegro-me de que pense assim. Eis aqui minha sugestão. Conheço alguns homens nas guildas por aqui, homens como eu, que foram espancados e explorados até que já não pudessem mais. Direi a eles que você se distingue por sua honestidade, que respeita os burgueses, que paga suas dívidas, e que não quer que seus súditos se transformem em mendigos.
str_npc16_kingsupport_3|Conceda-me duas semanas e farei algumas visitas aos castelos de meus antigos senhores. Eu lhes recitarei uma bela canção sobre suas pretensões como {rei/rainha} e sobre todas as liberdades de antigamente que você deseja restaurar. Acabarão os tempos de roubar os arrendatários, tributar com injustos impostos aos mercadores, e desperdiçar tudo em suas guerras, as quais encara como seu nobre dever. O que você diz, comandante?
str_npc17_kingsupport_3|Sem problema, vou espalhar a palavra do seu direito de ser {rei/rainha}. Eu sou o melhor nisso.
str_npc18_kingsupport_3|Absolutamente! Se você pudesse me dispensar por algumas semanas... eu sei, será difícil para você... eu poderia anunciar em cada vila que você vai realizar torneios diários e organizar festividades como ninguém viu antes.
str_npc19_kingsupport_3|Com sua permissão, irei divulgar seu direito de ser {rei/rainha}.
str_npc1_intel_mission|Bom, chefe, eu tenho alguns parentes em {s17} que, diferente da maioria de minha família, ainda suportam me ver. Eles se dedicam à criação de cavalos, até lhes forneci alguns de vez em quando... e consta que vazaram muito bem as intrigas e rumores que circulam nos castelos do {s18}. Você poderia deixar eu ficar por lá durante uns dias e depois contar-lhe tudo o que puder averiguar.
str_npc2_intel_mission|{Senhor/Milady}, se tiver interesse nos assuntos de {s18}, contudo posso fazer uso dos meus velhos contatos comerciais em {s17}. Eles geralmente estão bem informados sobre os assuntos políticos.
str_npc3_intel_mission|{Capitão/Capitã}, ainda não posso retornar à casa de meu pai em {s17}, contudo poderia entrar em contato com minha irmã. Ela estará a par dos interesses das principais casas de comércio e poderia nos contar muitas coisas sobre a situação do {s18}.
str_npc4_intel_mission|{Capitão/Capitã}, se me concede uns dias, gostaria de procurar um antigo companheiro de armas em {s17}, que em certas ocasiões comandou sua própria tropa de mercenários no {s18}. Trata-se de um bom homem, que fala pouco e ouve muito. Estou convencido de que depois de um trago ou dois ele poderia fazer-nos saber em que direção sopram os ventos políticos naquelas redondezas.
str_npc5_intel_mission|Se desejar, {playername} Bahadur, poderia dedicar alguns dos meus dias para visitar umas tias minhas que trabalham em um posto de caravanas em {s17}, porque elas conhecem bem as notícias que correm ao longo do {s18}. Certamente pode ser que conheçam alguns rumores que possam lhe interessar sobre os feudos e terras dos grandes nobres.
str_npc6_intel_mission|{Capitão/Capitã}, embora certamente minha presença não seja muito agradável em {s17}, creio que seria capaz de estabelecer contatos entre os antigos arrendatários das minas próximas. Transferi a eles a propriedade de meus bens após minha abrupta partida e agora eles gozam de uma boa posição social, de maneira que estão menos inclinados que nenhum outro a me censurar nada. Se me der alguns dias, eu poderia ser capaz de reunir informações interessantes sobre o {s18}.
str_npc7_intel_mission|{Capitão/Capitã}. Quando abandonei meu antigo lar em {s17}, prometi a mim mesma que jamais retornaria a não ser para me vingar daqueles que me agrediram. Talvez tenha sido muito impetuosa... De vez em quando sinto curiosidade de saber como está minha família. Talvez possa levar-lhes alguns presentes, para que saibam que permaneço viva... A verdade é que são pessoas pobres e simples, mas assim como qualquer cão servil mantém as orelhas atentas, eles também o fazem, só para garantir. Talvez tenham informações interessantes sobre o que acontece no {s18}. Conceda-me uns dias para fazer-lhes uma visita.
str_npc8_intel_mission|Caso tenha interesse nos assuntos do {s18}, um antigo companheiro meu, escudeiro já aposentado, possui algumas terras de lavoura nas imediações de {s17}. Sei que ele mantém contato com um bom número de outros velhos guerreiros... Eu poderia visitá-lo por uns dias e saber mais sobre o que acontece por lá.
str_npc9_intel_mission|{Milorde/Milady}, já faz algum tempo desde a última vez que desfrutei os prazeres de {s17}, onde as pessoas honestas e generosas como eu podemos usar da hospitalidade do lorde mais poderoso e generoso do local. Se quiser, poderia me dirigir para lá e tentar descobrir o que exatamente preocupa a alta nobreza do {s18}.
str_npc10_intel_mission|A verdade é que estava pensando que alguns dos meus antigos companheiros na guarnição de {s17} se alegrariam em me ver. São bons garotos e jamais trairiam sua cidade... mas como eu, não possuem muito entusiasmo pelos sangue-azuis que lhes dirigem e poderiam estar dispostos a compartilhar comigo alguns rumores. Os nobres sempre estão deixando cair uma ou outra rivalidade, mas estes rapazes poderiam nos assegurar se há realmente alguma conspiração em marcha.
str_npc11_intel_mission|{Rapaz/Mocinha}, certamente estava pensando que já faz algum tempo desde a última vez que visitei meus parentes em {s17}. A verdade é que eles me demonstraram sua generosidade durante muitos anos, ajudando-me em períodos de vacas magras... então adoraria compartilhar algo de minha recente fortuna com eles. Além disso, comprei trigo suficiente de Praven por atacado, para que confiem em mim. Calculo que poderia convencê-los para que me pusessem em dia sobre os últimos rumores no {s18}, se é que lhe interessam.
str_npc12_intel_mission|Se quiser, comandante, não me importaria de tomar-me um tempo para visitar um aluno meu, que agora serve ao lorde de {s17}. Tinha grandes esperanças postas nele, mas soube que ele ultimamente esteve provando o uso do melão como tratamento da paralisia, baseando-se nas propriedades de seus sucos frios. Isto é uma piada para a medicina, e tenho que dirigir-me até lá sem mais demora para corrigi-lo. Enquanto estiver lá, se desejar, poderia perguntá-lo sobre os últimos falatórios no {s17}, uma questão que poderia interessar-lhe.
str_npc13_intel_mission|Oh, poderoso valente! Com sua permissão, estava pensando que poderia fazer uma visita aos vales próximos a {s17}. Não é que eu pretenda voltar aos pastos de minha juventude, mas devo confessar que tenho certa curiosidade para saber como se saiu uma pastora que... conheci há um tempo. No caminho, trataria de me alojar no castelo. Suspeito que não seria muito difícil visitar o salão do lorde, e talvez pudesse conseguir-lhe alguma notícia interessante sobre o {s18}.
str_npc14_intel_mission|{Capitão/Capitã}... Como sabe, eu me dedicava a treinar a guarnição de {s17}. Pois bem, um de seus guardas pôs-se recentemente em contato comigo e sugeriu que se eu fosse visitá-lo, ele poderia ter informações interessantes a me oferecer sobre o {s18}. Estou disposto a me encarregar disto, se você me permitir. Bem, é certo que se trata de um traidor, mas não há desonra alguma em fazer bom uso desta circunstância.
str_npc15_intel_mission|Comandante. Como deve saber, tenho há algum tempo a ambição de ir a {s17}, e estudar a alvenaria... um dos melhores exemplos do antigo saber calrádico. Agora me consta que um conhecido meu está atualmente dirigindo lá as reparações da muralha. Embora creia que seu senso de obrigação profissional o impediria, legitimamente, de revelar-me todas as fraquezas em suas defesas, suspeito que ele não se oporia a fornecer-me seu parecer sobre o estado geral das coisas no {s18}, se for do seu interesse.
str_npc16_intel_mission|Oh, {meu capitão/minha capitã}! Tinha em mente fazer uma visita a meu antigo lar em {s17}. Digamos que o lorde e a lady do lugar me encarregaram um determinado serviço, e foram um pouco... laxistas quanto ao pagamento. Não vejo nenhuma necessidade de molestá-los fazendo-lhes saber da minha visita, mas poderia ter uma breve conversa com o senescal do castelo, um velho amigo meu, que poderá me informar no local próximo das idas e vindas no {s18}.
str_npc17_intel_mission|{Meu caro senhor/Minha querida senhora}, nas nossas viagens fiquei sabendo de um grande grupo de mulheres escondidas em {s17}. Se você arriscar me deixar sair de seu exército por apenas alguns dias, eu poderia perguntar a elas se elas têm notícias sobre o {s18}.
str_npc18_intel_mission|Haverá um grande torneio realizado em {s17}. Essa será a oportunidade perfeita para se esgueirar, fazer perguntas e aprender tudo sobre o {s18}. Se você pudesse me dar algumas semanas, eu posso aprender quase tudo.
str_npc19_intel_mission|Eu poderia ir para {s17}, para reunir informações sobre o {s18}.
str_npc1_fief_acceptance|Você me faria lorde de {s17}, chefe? Céus... esse seria o gesto mais amável que recebi em muito tempo. Je. Tirarei o máximo proveito de lá, pode contar com isso. Tenho que dizer, no entanto, que não estou certo de como reagirão os demais nobres deste reino... quando verem que tem o velho Borcha ante sua augusta presença.
