dlga_start:close_window.1|{s3}
dlga_lord_talk:gesprach_mit_herr_town_7_1|I'm here on behalf of Adventurer's Guild. What kind of help do you need?{***}
dlga_gesprach_mit_herr_town_7_1:gesprach_mit_herr_town_7_3|Oh, the problem is the citizens of {s8}, these ungrateful rebels.  They keep supporting that Nibor Hood cutthroat. Even a part of town's garrison is practically on his side now, and I have to do something about it.  My plan is to hire a team of loyal mercenaries to reinforce the garrison and watch for those traitors.{***}
dlga_gesprach_mit_herr_town_7_3:close_window|I'm sorry, I'm not interested.{***}
dlga_gesprach_mit_herr_town_7_3:gesprach_mit_herr_town_7_4|All right, I can help you with this. What kind mercenaries do you want to hire? {***}
dlga_gesprach_mit_herr_town_7_4:close_window|Outlanders. Those who do not share locals' beliefs and views. I think somebody like Nihonian mercenaries will do.  Find them and persuade them to work for me. {***}
dlga_mercenary_tavern_talk:gesprach_mit_m01_mem_s_nihonian_1|One of local lords is looking for mercenaries to serve in his town's garrison. Are you interested?{***}
dlga_gesprach_mit_m01_mem_s_nihonian_1:close_window|Well, we don't know anything about you, let alone this lord. But money could solve this problem.  Hire us, and then we can talk.{***}
dlga_regular_member_talk:dialogue_m01_mem_s_nihonian_1|You have your money. So what about garrison service I mentioned? {***}
dlga_dialogue_m01_mem_s_nihonian_1:close_window|This is a good offer, but there are too few of us here.  However, a large party of my friends along with their chieftain Omelian Kasap were hired to get  rid of a band of brigands robbing people near {s9}.  They are probably at the castle at this moment. Go and talk to them. {***}
dlga_start:gesprech_mit_omelian_kasap_1|Greetings, {s9}! My name is {playername}. I came with an offer for you and your men.{***}
dlga_gesprech_mit_omelian_kasap_1:gesprech_mit_omelian_kasap_2|Speak then. What is it? {***}
dlga_gesprech_mit_omelian_kasap_2:gesprech_mit_omelian_kasap_3|A lord who owns Vinica wants you to serve in the garrison of his town. Money will not be a problem, but you will need to watch for other soldiers and ensure  their loyalty to the lord. {***}
dlga_gesprech_mit_omelian_kasap_3:close_window|Hmm. This is a fine offer for an old man such as I. Speaking frankly, I've gotten  tired of traveling, and the garrison duty is what I probably need now.  In other words, I agree. I'll see you outside castle walls.{***}
dlga_start:close_window.25|Ah, {playername}. Como é bom vê-l{o/a} novamente. Contudo, acredito que necessitam de mim em outro lugar.
dlga_start:gesprach_mit_omelian_kasap_party_1|So, we are not far from {s8}. But it looks like there is a rebellion going in the town.{***}
dlga_gesprach_mit_omelian_kasap_party_1:gesprach_mit_omelian_kasap_party_2|What do we do now?{***}
dlga_gesprach_mit_omelian_kasap_party_2:gesprach_mit_omelian_kasap_party_3|I have a plan. First I and my people enter the town claiming that we came to join Nibor Hood. Then after the gates are open, it's your turn.  We will only be able to hold the gates for a short time, so hurry!{***}
dlga_gesprach_mit_omelian_kasap_party_3:close_window|Ok. I'll see you at the tavern after we deal with the rebels! Good luck!{***}
dlga_start:omelian_kasap_party_intro_1|Hi!{***}
dlga_omelian_kasap_party_intro_1:escort_ataman_omelian_kasap_talk|Follow me.  I will lead you to {s8}.{***}
dlga_start:escort_ataman_omelian_kasap_talk|Eh. We've made it this far... What do you want me to do?{***}
dlga_escort_ataman_omelian_kasap_talk:omelian_kasap_party_follow_lead|You follow my lead. I'll take you through a safe route.{***}
dlga_omelian_kasap_party_follow_lead:close_window|Alright. I'll be right behind you.{***}
dlga_escort_ataman_omelian_kasap_talk:omelian_kasap_party_stay_here|You stay here for a while. I'll go ahead and check the road.{***}
dlga_omelian_kasap_party_stay_here:close_window|Alright. I'll be waiting here for you.{***}
dlga_adventurer_guildsman_talk:amazone_quest_victory_1|The old woman is now in Fountain Hall!{***}
dlga_amazone_quest_victory_1:amazone_quest_victory_2|Did she pay you for that? Because she didn't left any gold for The Guild.{***}
dlga_amazone_quest_victory_2:amazone_quest_victory_3|What?! She only gave me a couple of coins! I thought that The Guild would pay me the rest... Gods! That old woman...{***}
dlga_amazone_quest_victory_3:close_window|Ha ... ha ... ha ... Oh, that's been a long time since a laughed so hard! (clears throat) Well, I'm sorry, but we have no money to give you. The woman left her armor though. You can take it if you need it.{***}
dlga_adventurer_guildsman_talk_1:adventurer_amazone_quest_1|Do you want to make some aurums?{***}
dlga_adventurer_amazone_quest_1:close_window|No.{***}
dlga_adventurer_amazone_quest_1:adventurer_amazone_quest_2|Yes.{***}
dlga_adventurer_amazone_quest_2:close_window|Then you have to talk to the elderly woman near town. She looks for help.{***}
dlga_adventurer_amazone_quest_1:close_window.1|Sorry. I can't do that right now.{***}
dlga_start:close_window.26|Ali! Posso ver os muros de {s3} à distância! Chegamos sãos e salvos. Tome estes {reg3} denares, como prometi. Espero que possamos viajar novamente juntos em uma outra oportunidade.
dlga_start:close_window.27|Saia daqui antes que eu perca a paciência, patife.
dlga_start:elderly_amazon_intro_1|Greetings. You must be my escort, right?{***}
dlga_elderly_amazon_intro_1:elderly_amazon_intro_2|What? ... Yes, I suppose so. My name is {playername}. I was told you were looking for help.{***}
dlga_elderly_amazon_intro_2:elderly_amazon_intro_2_1|That is true. My name is Oksanamunmun. You need to know what you are about to sign up for, so let me tell you my story.{***}
dlga_elderly_amazon_intro_2_1:elderly_amazon_intro_3|I used to have a daughter who was unfortunate to give birth to a boy.  The Amazon Priestesses ordered her to sacrifice him to the gods so that they will help us in our fights against Tolranian lords...{***}
dlga_elderly_amazon_intro_3:elderly_amazon_intro_4|That's barbaric!{***}
dlga_elderly_amazon_intro_4:elderly_amazon_intro_5|... My daughter escaped and left the child with me. When she returned, she was executed.  This made me change my mind about life. I ran away and took my grandson with me.{***}
dlga_elderly_amazon_intro_5:elderly_amazon_intro_6|And now you are planning to begin a new life?{***}
dlga_elderly_amazon_intro_6:elderly_amazon_intro_7|Yes. I want to go to the town of free people where residents do not pay attention to one's sex or origins.{***}
dlga_elderly_amazon_intro_7:elderly_amazon_intro_8|Is there such town in Perisno?{***}
dlga_elderly_amazon_intro_8:elderly_amazon_intro_9|There is! It is called Fountain Hall. But I have a problem. The Priestess' cadres are now hunting us.  I took refuge in this city. Now I am looking for someone to escort me to my destination. Are you up to this task?{***}
dlga_elderly_amazon_intro_9:escort_elderly_amazon_talk|I am! I will lead you to Fountain Hall.{***}
dlga_start:escort_elderly_amazon_talk|Eh. We've made it this far... What do you want me to do?{***}
dlga_escort_elderly_amazon_talk:elderly_amazon_follow_lead|You follow my lead. I'll take you through a safe route.{***}
dlga_elderly_amazon_follow_lead:close_window|Alright. I'll be right behind you.{***}
dlga_escort_elderly_amazon_talk:elderly_amazon_stay_here|You stay here for a while. I'll go ahead and check the road.{***}
dlga_elderly_amazon_stay_here:close_window|Alright. I'll be waiting here for you.{***}
dlga_start:dialog_mit_persecutors_elderly_amazon_variante_1|Hey, you! Don't move! Surrender the old traitor to us, and then we will let you go!{***}
dlga_dialog_mit_persecutors_elderly_amazon_variante_1:battle_reason_stated|No! (clears throat)... And you should rather get married! Maybe then you will stop being so afraid of men!{***}
dlga_start:dialog_mit_persecutors_elderly_amazon_variante_2|(Angrily) Get me the traitor! Alive!{***}
dlga_dialog_mit_persecutors_elderly_amazon_variante_2:dialog_mit_persecutors_elderly_amazon_variante_2_1|Hold on, ladies! Where are your manners? It's no good to attack people without even saying Hello!{***}
dlga_dialog_mit_persecutors_elderly_amazon_variante_2_1:battle_reason_stated|Get me this piece of shit too! The Priestess will cut out {reg33?her:his} tongue!{***}
dlga_start:dialog_mit_persecutors_elderly_amazon_variante_3|Where did the old hag and her grandson hide?{***}
dlga_dialog_mit_persecutors_elderly_amazon_variante_3:battle_reason_stated|Gods, you are stubborn! Stay away from me!{***}
dlga_tavern_traveler_talk:tavern_traveler_tell_elderly_amazon_1|What's new?{***}
dlga_tavern_traveler_tell_elderly_amazon_1:tavern_traveler_tell_elderly_amazon_2|The elderly amazon is looking for you. I saw her at the tavern of {s8}.{***}
dlga_tavern_traveler_tell_elderly_amazon_2:close_window|I don't want to see this liar.{***}
dlga_tavern_traveler_tell_elderly_amazon_2:close_window.1|Thank you for telling me! I'll talk to her.{***}
dlga_start:talk_elderly_amazon_1|Greetings, {playername}. I couldn't pay you for your help back then but I can now.{***}
dlga_talk_elderly_amazon_1:talk_elderly_amazon_2|Thanks!{***}
dlga_talk_elderly_amazon_2:talk_elderly_amazon_3|I managed to do quite well in this town. I'm not short of money anymore, my grandson is safe, but my daughter ... My heart is longing for revenge. I saved some gold and hired a couple of mercenaries, but I cannot leave my grandchild. He needs nurture and protection. So now I am looking for someone who would avenge my daughter's death for me.{***}
dlga_talk_elderly_amazon_3:close_window|No, not interested{***}
dlga_talk_elderly_amazon_3:talk_elderly_amazon_4|Well, those ladies don't like me anyway. Do you know where they are to be found?{***}
dlga_talk_elderly_amazon_4:close_window|No, but captain Berkut is trying to find the murderer of my daughter. From time to time he visits the tavern of Lille. Can you find him there and talk to him?{***}
dlga_start:close_window.28|Você chegou a tempo. Unimos nossas forças e demos uma lição nos nossos inimigos!
dlga_start:captain_berkut_1|Greetings, {s9}! My name is {playername}. I was sent here to help you. You and your soldiers have been placed at my disposal.{***}
dlga_captain_berkut_1:captain_berkut_2|Yes, {reg33?madame:sir}!{***}
dlga_captain_berkut_2:captain_berkut_3|How is your investigation doing?{***}
dlga_captain_berkut_3:captain_berkut_4|I sent my men to gather information, and they found out that the Naphali of this town are supporting the Ankars.{***}
dlga_captain_berkut_4:captain_berkut_5|From time to time they would send a caravan of goods guarded by female soldiers. I believe such caravans go to Ankars.{***}
dlga_captain_berkut_5:captain_berkut_6|In my opinion you should start by finding out what exactly those caravans carry.{***}
dlga_captain_berkut_6:captain_berkut_7|Good work, captain! When does the next caravan leave the  town?{***}
dlga_captain_berkut_7:captain_berkut_8|Very soon.{***}
dlga_captain_berkut_8:close_window|Good. I'll deal with the caravan, and you stay here and gather your men.{***}
dlga_start:ankars_caravan_1|Who are you? What do you want?{***}
dlga_ankars_caravan_1:ankars_caravan_2|I'd like to search your carts.{***}
dlga_ankars_caravan_2:battle_reason_stated|How dare you?! We are under protection of Queen Arwen! Your foolish act will not be forgotten.{***}
dlga_start:captain_berkut_9|{reg33?Madame:Sir}{***}
dlga_captain_berkut_9:close_window|Stay here and gather your men.{***}
dlga_captain_berkut_9:captain_berkutr_failed|Unfortunately, I couldn't search the caravan.{***}
dlga_start:close_window.29|Está cometendo um grande erro ao lutar contra nós.
dlga_start:close_window.30|Mais uma vez você salvou nossos pescoços, {playername}! Realmente é {o/a} melhor {dos amigos/das amigas}. {s43}.
dlga_start:captain_berkutr_failed|Unfortunately, I couldn't search the caravan.{***}
dlga_captain_berkutr_failed:close_window|That is bad. However, another caravan left the town about an hour ago. You can try and catch this one.{***}
dlga_start:defeat_ankars_caravan_1|Caravan guards refused to show me their goods voluntarily, so I had to search the caravan by force. It was carrying bows and arrows.{***}
dlga_defeat_ankars_caravan_1:defeat_ankars_caravan_2|Good work.{***}
dlga_defeat_ankars_caravan_2:defeat_ankars_caravan_3|So, what do we do now?{***}
dlga_defeat_ankars_caravan_3:defeat_ankars_caravan_4|I think I have to tell Oksanamun about that. You and your men should stay here.{***}
dlga_defeat_ankars_caravan_4:close_window|Yes, {reg33?madame:sir}. But be careful. People over there are watching you. And I don't think their intentions are good.{***}
dlga_start:report_elderly_amazon_1|Greetings, {playername}. What news do you bring?{***}
dlga_report_elderly_amazon_1:report_elderly_amazon_2|I intercepted a caravan that departed from the town of Lille. It was carrying amazon bows and arrows.{***}
dlga_report_elderly_amazon_2:report_elderly_amazon_3|Good! Amazons do not produce weapons on their own. Instead they maintain good relationship with the Naphali. The Naphali deliver supplies. Amazons pay with gold or slaves, protect trade routes and do other things in return.{***}
dlga_report_elderly_amazon_3:report_elderly_amazon_4|Now you have to keep looking in this direction.{***}
dlga_report_elderly_amazon_4:report_elderly_amazon_5|Find amazons who are waiting for caravans from Lille. Talk to captain Berkut about that.{***}
dlga_report_elderly_amazon_5:report_elderly_amazon_6|After you defeat them, let someone live and tell them to tell the others that it was my revenge. Tell them that I will not stop until their priestesses come to me. I am sure that the queen will not risk jeopardizing trade with the Naphali and therefore will fulfill my demand.{***}
dlga_report_elderly_amazon_6:report_elderly_amazon_7|Fine. I'll do as you say.{***}
dlga_report_elderly_amazon_7:close_window|Be careful.{***}
dlga_start:close_window.31|Você chegou na hora certa, {playername}! Dou-lhe meus mais sinceros agradecimentos! {s43}
dlga_start:captain_berkut_10|{reg33?Madame:Sir}{***}
dlga_captain_berkut_10:captain_berkut_11|I need to find out where caravans are heading.{***}
dlga_captain_berkut_11:captain_berkut_12|Good. One of the caravans left about an hour age.{***}
dlga_captain_berkut_12:captain_berkut_13|I'll follow it. You and men have to join me.{***}
dlga_captain_berkut_13:close_window|Yes, {reg33?madame:sir}!{***}
dlga_start:defeat_squad_amazon_1|I did what you asked. I found the party of amazons waiting for the goods and defeated them.{***}
dlga_defeat_squad_amazon_1:close_window|Good work. Thank you!{***}
dlga_start:close_window.32|Você chegou na hora certa, {playername}. Não esquecerei sua ajuda. {s43}
dlga_start:war_party_oksanamun_1|Greetings, Oksanamun!{***}
dlga_war_party_oksanamun_1:mate_chat_talk|Thank you, {playername}! If you ever need my help, do not hesitate to ask.{***}
dlga_war_party_oksanamun_1:close_window|Hi, {playername}!{***}
dlga_war_party_oksanamun_1:mate_chat_talk.1|Hi, {playername}!{***}
dlga_mate_give_order_ask:mate_give_order|What do you wish?{***}
dlga_mate_give_order:mate_follow|Follow me{***}
dlga_mate_follow:close_window|All right{***}
dlga_mate_give_order:mate_stay|Stay here{***}
dlga_mate_stay:close_window|All right{***}
dlga_mate_give_order:mate_patrol|Patrol this area{***}
dlga_mate_patrol:close_window|All right{***}
dlga_mate_give_order:mate_give_order_details_ask|Go to...{***}
dlga_mate_give_order:mate_give_order_details_ask.1|Patrol around...{***}
dlga_mate_give_order:close_window|Never mind{***}
dlga_mate_give_order_details_ask:mate_give_order_details|Where?{***}
dlga_mate_give_order_details:mate_give_order_details_done|{s1}{***}
dlga_mate_give_order_details_done:close_window|Okay{***}
dlga_mate_chat_talk:close_window|Never mind{***}
dlga_adventurer_guildsman_talk:adventurer_taskgiver_failed_killed_joan_zwiebel|I haven't defeated Joan Zwiebel, but the Tolranian Spymaster is dead!{***}
dlga_adventurer_taskgiver_failed_killed_joan_zwiebel:close_window|Well...so I haven't got any problem and you have no aurums.{***}
dlga_adventurer_guildsman_talk:killed_joan_zwiebel|I found Joan Zwiebel's army, defeated and killed her!{***}
dlga_killed_joan_zwiebel:close_window|Good work.  I owe you a lot for helping me with this task. Farewell, {playername}.{***}
dlga_adventurer_guildsman_talk_1:adventurer_joan_zwiebel_quest_1|It is great to see you, {playername}. I have a problem. Some time ago, a mysterious stranger came to me. He gave The Guild a dangerous assignments which I was foolish  enough to accept.{***}
dlga_adventurer_joan_zwiebel_quest_1:adventurer_joan_zwiebel_quest_2|Back then I did not quite realize how difficult it would be to fulfill it. So now I am asking for you help. Are you up  to a challenge?{***}
dlga_adventurer_joan_zwiebel_quest_2:close_window|No, thanks.{***}
dlga_adventurer_joan_zwiebel_quest_2:adventurer_joan_zwiebel_quest_3|Sure, I always am!{***}
dlga_adventurer_joan_zwiebel_quest_3:adventurer_joan_zwiebel_quest_4|Great! It's about getting rid of someone... a woman.{***}
dlga_adventurer_joan_zwiebel_quest_4:adventurer_joan_zwiebel_quest_5|How is this difficult? You could just hire a couple of Ral'Daiun assassins.{***}
dlga_adventurer_joan_zwiebel_quest_5:adventurer_joan_zwiebel_quest_6|They already made five attempts but haven't been successful. The name of the woman is Joan Zwiebel.{***}
dlga_adventurer_joan_zwiebel_quest_6:adventurer_joan_zwiebel_quest_7|Well, I suppose the assassins just couldn't stand against her beauty (smiling).{***}
dlga_adventurer_joan_zwiebel_quest_7:adventurer_joan_zwiebel_quest_8|It's not about that. Joan Zwiebel was leading militia during the War of the Woods. Now she is very popular.  A lot of people support her, even more than they would support their own king.{***}
dlga_adventurer_joan_zwiebel_quest_8:adventurer_joan_zwiebel_quest_9|Really?!{***}
dlga_adventurer_joan_zwiebel_quest_9:adventurer_joan_zwiebel_quest_10|Yes. And I am actually inclined to believe that this 'Mysterious Stranger' was the Tolranian Spymaster.{***}
dlga_adventurer_joan_zwiebel_quest_10:adventurer_joan_zwiebel_quest_11|So this is all about politics. And now I either have to cooperate and kill that woman or die because of knowing  too much.{***}
dlga_adventurer_joan_zwiebel_quest_11:adventurer_joan_zwiebel_quest_12|Yes, I suppose these are your choices. Good luck.{***}
dlga_adventurer_joan_zwiebel_quest_12:adventurer_joan_zwiebel_quest_13|So this is all about politics. And now I either have to cooperate and kill that woman or die because of knowing  too much.{***}
dlga_adventurer_joan_zwiebel_quest_13:close_window|Follow the scout. He will lead you to your target.{***}
dlga_start:mercenaries_tolranian_spymaster_dialogue_1|Who are you? What do you want?{***}
dlga_mercenaries_tolranian_spymaster_dialogue_1:battle_reason_stated|I am here to kill you.{***}
dlga_mercenaries_tolranian_spymaster_dialogue_1:mercenaries_tolranian_spymaster_dialogue_2|Where do I find Joan Zwiebel?{***}
dlga_mercenaries_tolranian_spymaster_dialogue_2:close_window|Not far from here. She was following me.{***}
dlga_start:mercenaries_tolranian_spymaster_dialogue_3|Who are you? What do you want?{***}
dlga_mercenaries_tolranian_spymaster_dialogue_3:battle_reason_stated|Halt! Our secrets should not be spread.{***}
dlga_start:killed_tolranian_spymaster|Greetings, Joan! I defeated the Tolranian Spymaster.{***}
dlga_killed_tolranian_spymaster:mate_give_order_ask|Thank you, {playername}! If you ever need my help, do not hesitate to ask.{***}
dlga_start:joan_zwiebel_army_dialogue_5|Greetings, Joan!{***}
dlga_joan_zwiebel_army_dialogue_5:mate_chat_talk|Thank you, {playername}! If you ever need my help, do not hesitate to ask.{***}
dlga_mate_chat_talk:mate_give_order_ask|I have a new task for you.{***}
dlga_start:joan_zwiebel_army_dialogue_1|Joan Zwiebel! There is no other choice for me but to kill you!{***}
dlga_joan_zwiebel_army_dialogue_1:joan_zwiebel_army_dialogue_2|There is always a choice!{***}
dlga_joan_zwiebel_army_dialogue_2:battle_reason_stated|(Attack the party of Joan Zwiebel){***}
dlga_joan_zwiebel_army_dialogue_2:close_window|(Attack the party of the Tolranian Spymaster){***}
dlga_start:joan_zwiebel_army_dialogue_3|Who are you? What do you want?{***}
dlga_joan_zwiebel_army_dialogue_3:close_window|I am here to kill you.{***}
dlga_joan_zwiebel_army_dialogue_3:joan_zwiebel_army_dialogue_4|Where do I find the Spymaster?{***}
dlga_joan_zwiebel_army_dialogue_4:close_window|Not far from here. I had been chasing him before you appeared.{***}
dlga_mate_give_order:mate_give_order_details_ask.2|Patrol around...{***}
dlga_tavern_traveler_talk:auftrag_1|What's new?{***}
dlga_auftrag_1:auftrag_2|Adventurers are looking for you. They have an interesting job.{***}
dlga_auftrag_2:close_window|Thank you for telling me! I'll talk to them.{***}
dlga_adventurer_guildsman_talk_1:adventurer_guildsman_talk_konyk_1|The log of orders is in Meadbrewer. You can ask him.{***}
dlga_adventurer_guildsman_talk_konyk_1:adventurer_guildsman_talk_konyk_2|Where's Meadbrewer?{***}
dlga_adventurer_guildsman_talk_konyk_2:close_window|He said that he was going to Fountain Hall.{***}
dlga_adventurer_guildsman_talk:adventurer_guildsman_talk_konyk_3|I did not find Meadbrewer.{***}
dlga_adventurer_guildsman_talk_konyk_3:close_window| You can find Meadbrewer at the tavern of {s8}.{***}
dlga_adventurer_guildsman_talk:adventurer_guildsman_talk_1|Hi! Do you have customers?{***}
dlga_adventurer_guildsman_talk:adventurer_guildsman_talk_1.1|Adventurer Guildsman said that you can help make a couple of aurums.{***}
dlga_adventurer_guildsman_talk:close_window|Nothing.{***}
dlga_start:adventurer_guildsman_talk|What do you want?{***}
dlga_adventurer_taskgiver_failed:close_window|That is a shame. You can come back next time for more quests, however.{***}
dlga_adventurer_guildsman_talk:meadbrewer_taskgiver_failed|I failed the quest.{***}
dlga_adventurer_guildsman_talk:mercenary_warband_victory|I found the client and did what was required.{***}
dlga_mercenary_warband_victory:close_window|Good work.  That's your reward. But be careful. People over there are watching you.  And I don't think their intentions are good.{***}
dlga_adventurer_guildsman_talk:mysterious_group_victory|I found the client and did what was required.{***}
dlga_mysterious_group_victory:close_window|Good work.  That's your reward. But be careful. People over there are watching you.  And I don't think their intentions are good.{***}
dlga_adventurer_guildsman_talk:quest_meadbrewer|Hi! Can you help me make a couple of aurums?{***}
dlga_adventurer_guildsman_talk:quest_meadbrewer_a|Hi! I forgot. Where is the client?{***}
dlga_quest_meadbrewer_a:close_window|The client lives in {s8}.{***}
dlga_tavernkeeper_talk:mead_1|You have  unusual drinks?{***}
dlga_mead_1:mead_2|Such a pity. A barrel of mead with kalyna berries emptied.{***}
dlga_mead_2:mead_3|Kalyna? What it is?{***}
dlga_mead_3:mead_4|I do not know. This mead brought Silberfalke. On the feast of armorer.{***}
dlga_mead_4:mead_5|Where can I find Silberfalke?{***}
dlga_mead_4:close_window|Mead with kalyna. Shucks!{***}
dlga_mead_5:close_window|John is my cousin. You can find it in the armorer workshop in this town.{***}
dlga_town_merchant_talk:mead_6|Silver Hawk said that you have a good mead with kalyna berries.{***}
dlga_mead_6:mead_7|Yes, I have. Keep wineglass.{***}
dlga_mead_7:close_window|No! Thank you! I do not want to drink this mead.{***}
dlga_mead_7:mead_7_1|(You drank a sip of mead).{***}
dlga_mead_7_1:close_window|Ugh! (You do not like this drink){***}
dlga_mead_7:mead_7_2|(You drank a wineglass to the bottom).{***}
dlga_mead_7_2:mead_8|Wonderful mead! (You do like this drink){***}
dlga_mead_8:mead_9|Yes. Meadbrewer produced delicious mead with kalyna berries.{***}
dlga_mead_9:mead_10|Kalyna? What it is?{***}
dlga_mead_10:mead_11|I do not know. (Silberfalke smiles). You should ask Meadbrewer.{***}
dlga_mead_11:mead_12|I circuited  the tawn in order to find you.  I have never seen Meadbrewer.{***}
dlga_mead_12:mead_13|Meadbrewer is a retired mercenary guild of adventurers. We traveled Perisno together for a while.{***}
dlga_mead_13:mead_14|Where can I find Meadbrewer?{***}
dlga_mead_14:close_window| You can find Meadbrewer at the tavern of {s8}.{***}
dlga_start:meadbrewer_taskgiver_failed|I failed the quest.{***}
dlga_meadbrewer_taskgiver_failed:close_window|That is a shame. You can come back next time for more quests, however.{***}
dlga_start:mercenary_warband_victory|I found the client and did what was required.{***}
dlga_start:mysterious_group_victory|I found the client and did what was required.{***}
dlga_start:meadbrewer_1|Greetings Meadbrewer! My name is {playername}. Do you sell mead?{***}
dlga_meadbrewer_1:meadbrewer_2|Yes, but only to my friends.{***}
dlga_meadbrewer_2:meadbrewer_3|I drank your mead with kalyna berries. What it kalyna? Silberfalke told me to ask you.{***}
dlga_meadbrewer_3:meadbrewer_4|Silberfalke?{***}
dlga_meadbrewer_4:meadbrewer_5|Yes. The armorer from Fountain Hall.{***}
dlga_meadbrewer_5:meadbrewer_6|Kalyna is a common name for guelder-rose. Kalyna is one of the national symbols of my homeland. Its berries symbolize blood and the undying trace of family roots.{***}
dlga_meadbrewer_6:meadbrewer_7|Silberfalke said you were together in the Adventurer Guild.{***}
dlga_meadbrewer_7:meadbrewer_8|Yes. Silberfalke returned to his relatives in the city. He is a skilled gunsmith. I stayed here.  Around grow prairie grass. Near the lake grows guelder-rose. It is a paradise for bees and mead-brewers.{***}
dlga_meadbrewer_8:meadbrewer_9|Can you help me make some aurums?{***}
dlga_meadbrewer_9:meadbrewer_10|You should rather ask my former colleagues about this. Their quests will bring you a lot of gold.{***}
dlga_meadbrewer_10:close_window|Okay, I'll find them.{***}
dlga_meadbrewer_10:quest_meadbrewer|Mead you do not sell. How do you make for a living?{***}
dlga_start:meadbrewer_10_1|You must find other adventurers.{***}
dlga_meadbrewer_10_1:close_window|Okay, I'll find them.{***}
dlga_quest_meadbrewer:quest_meadbrewer_0|Wait a minute. Let me see if I have anything for you.{***}
dlga_quest_meadbrewer_0:quest_meadbrewer_1|Okay. I'll wait.{***}
dlga_quest_meadbrewer_1:close_window|The client lives in {s8}. Just tell them I sent you to help.{***}
dlga_tavernkeeper_talk:requester_talk|{s3}{***}
dlga_goods_merchant_talk:requester_talk|{s3}{***}
dlga_town_merchant_talk:requester_talk|{s3}{***}
dlga_mayor_talk:requester_talk|{s3}{***}
dlga_arena_master_talk:requester_talk|Ha! Just got the message. This problem decided patrol.{***}
dlga_requester_talk:requester_talk_1|Yes. That was me.{***}
dlga_requester_talk_1:close_window|Well, I'm a little bit busy now, so maybe next time...{***}
dlga_requester_talk_1:requester_talk_2|Well, here I am at you service. For a price, of course.{***}
dlga_requester_talk_2:requester_talk_3|{s3}{***}
dlga_requester_talk_2:requester_talk_3.1|A party of suspicious types is wandering nearby. A few town residents already disappeared.  The same thing happened to several merchant caravans, and traders now prefer to stay away from the town. Help us and rid us of those types!{***}
dlga_requester_talk_2:close_window|Ha! Just got the message. This problem decided patrol.{***}
dlga_requester_talk_3:requester_talk_4|Where are they now?{***}
dlga_requester_talk_4:close_window|Not far from the town.{***}
dlga_start:group_of_mercenary_warband_dialogue|{s3}{***}
dlga_group_of_mercenary_warband_dialogue:close_window|You've been causing a lot of trouble around here and I don't have to answer to you. Surrender or die!{***}
dlga_start:mysterious_group_dialogue|{s3}{***}
dlga_mysterious_group_dialogue:close_window|You've been causing a lot of trouble around here and  I don't have to answer to you. Surrender or die!{***}
dlga_adventurer_guildsman_talk_1:close_window|Too bad. No one needs your help at the moment.{***}
dlga_start:close_window.33|Alegra-me vê-l{o/a} aqui, {playername}. {s43}
dlga_start:victory1|I have defeated the rebel peasants and taken back the money!{***}
dlga_victory1:close_window|Good work. Now, hand me the money and we will split it half and half. I will be leaving this town shortly, now that my work is done. You will find my colleagues throughout taverns in Perisno, giving you quests, although not every one of them will be as easy as this one! Farewell, {playername}. I can see a brave warrior in you.{***}
dlga_start:close_window.34|{s43}
dlga_start:a_guild_intro|Hello. I am {playername}. Who are the Adventurer's Guild?{***}
dlga_start:a_guild_talk|Greetings. What business having you with the Adventurer's Guild? Have you come looking for tasks to complete?{***}
dlga_a_guild_intro:a_guild_intro_1|I am glad you asked! We are a group of men and women dedicated to getting beginning adventurers started on their journeys to become famous. We give out tasks, quests, and jobs of all sorts to people who want it and if those in need request a favor we will try to send an Adventurer to help them. Of course, we require payment from the ones who request help from us.{***}
dlga_a_guild_intro_1:a_guild_intro_2|So basically you guys are a group of people that send your guildsman to help those in need, if paid?{***}
dlga_a_guild_intro_2:a_guild_talk|Essentially, yes. Although we occasionally send mercenaries to help as well. It is a very fair system, I think. Pay us to help you, and we will pay mercenaries or our guildsman to go help. That way, everyone ends up happy. Are you looking for any tasks to complete, adventurer?{***}
dlga_a_guild_talk:a_guild_task_1|I am a mercenary in these lands. I indeed would like to complete some quests.{***}
dlga_a_guild_talk:close_window|No. Goodbye for now.{***}
dlga_a_guild_task_1:a_guild_task_1a|I was hoping you would ask. I don't know how capable you are, but since you are new, I will give you an easier job. Recently, we were contacted by an anonymous village elder who told us that a group of rebel peasants - around 10 or 20 have rioted and escaped from the village. They are now fugitives, and are told to be around this town. We want you to hunt these peasants down and defeat them, then take their money that they stole from the village elder and give it to us so we can return it to the elder.{***}
dlga_a_guild_task_1a:a_guild_task_1b|I will do it.{***}
dlga_a_guild_task_1a:close_window|No thanks. I don't have time right now.{***}
dlga_a_guild_task_1b:close_window|Very good. Once you defeat the rebellious farmers, return to me and I shall give you a reward as well. Good luck, {playername}.{***}
dlga_start:fight2|Who are you? What do you want here? I warn you ... we ... we know how to use our weapons!{***}
dlga_fight2:fight3|What a bunch of fools! I thought you would at least prove a challenge of some sort. I have come to kill you and take back your money that you stole from your village's treasuries.{***}
dlga_fight3:close_window|Men ... steady! We shall let no one get in our way of freedom!{***}
dlga_start:ag_taskgiver_talk|Yes?{***}
dlga_ag_taskgiver_talk:ag_taskgiver_quest|Do you have any tasks for me?{***}
